ds,Qt_Pedidos
2017-01-05,3.0
2017-01-06,3.0
2017-01-07,33.0
2017-01-08,4.0
2017-01-09,4.0
2017-01-10,6.0
2017-01-11,11.0
2017-01-12,14.0
2017-01-13,12.0
2017-01-14,17.0
2017-01-15,8.0
2017-01-16,15.0
2017-01-17,35.0
2017-01-18,33.0
2017-01-19,26.0
2017-01-20,26.0
2017-01-21,26.0
2017-01-22,25.0
2017-01-23,31.0
2017-01-24,46.0
2017-01-25,62.0
2017-01-26,75.0
2017-01-27,49.0
2017-01-28,52.0
2017-01-29,30.0
2017-01-30,40.0
2017-01-31,74.0
2017-02-01,81.0
2017-02-02,69.0
2017-02-03,61.0
2017-02-04,69.0
2017-02-05,56.0
2017-02-06,68.0
2017-02-07,124.0
2017-02-08,86.0
2017-02-09,91.0
2017-02-10,87.0
2017-02-11,54.0
2017-02-12,46.0
2017-02-13,60.0
2017-02-14,86.0
2017-02-15,82.0
2017-02-16,61.0
2017-02-17,43.0
2017-02-18,54.0
2017-02-19,32.0
2017-02-20,42.0
2017-02-21,44.0
2017-02-22,73.0
2017-02-23,50.0
2017-02-24,75.0
2017-02-25,44.0
2017-02-26,42.0
2017-02-27,38.0
2017-02-28,47.0
2017-03-01,64.0
2017-03-02,100.0
2017-03-03,90.0
2017-03-04,75.0
2017-03-05,67.0
2017-03-06,86.0
2017-03-07,106.0
2017-03-08,90.0
2017-03-09,113.0
2017-03-10,91.0
2017-03-11,71.0
2017-03-12,64.0
2017-03-13,111.0
2017-03-14,99.0
2017-03-15,108.0
2017-03-16,102.0
2017-03-17,64.0
2017-03-18,73.0
2017-03-19,56.0
2017-03-20,119.0
2017-03-21,87.0
2017-03-22,83.0
2017-03-23,81.0
2017-03-24,100.0
2017-03-25,83.0
2017-03-26,63.0
2017-03-27,86.0
2017-03-28,118.0
2017-03-29,83.0
2017-03-30,87.0
2017-03-31,69.0
2017-04-01,52.0
2017-04-02,54.0
2017-04-03,57.0
2017-04-04,126.0
2017-04-05,97.0
2017-04-06,95.0
2017-04-07,95.0
2017-04-08,73.0
2017-04-09,60.0
2017-04-10,70.0
2017-04-11,98.0
2017-04-12,64.0
2017-04-13,74.0
2017-04-14,59.0
2017-04-15,44.0
2017-04-16,43.0
2017-04-17,46.0
2017-04-18,87.0
2017-04-19,82.0
2017-04-20,93.0
2017-04-21,78.0
2017-04-22,70.0
2017-04-23,56.0
2017-04-24,91.0
2017-04-25,144.0
2017-04-26,118.0
2017-04-27,99.0
2017-04-28,105.0
2017-04-29,85.0
2017-04-30,59.0
2017-05-01,92.0
2017-05-02,47.0
2017-05-03,193.0
2017-05-04,110.0
2017-05-05,116.0
2017-05-06,129.0
2017-05-07,96.0
2017-05-08,102.0
2017-05-09,148.0
2017-05-10,106.0
2017-05-11,139.0
2017-05-12,113.0
2017-05-13,94.0
2017-05-14,94.0
2017-05-15,103.0
2017-05-16,191.0
2017-05-17,142.0
2017-05-18,144.0
2017-05-19,141.0
2017-05-20,84.0
2017-05-21,105.0
2017-05-22,133.0
2017-05-23,174.0
2017-05-24,124.0
2017-05-25,125.0
2017-05-26,107.0
2017-05-27,76.0
2017-05-28,82.0
2017-05-29,125.0
2017-05-30,126.0
2017-05-31,132.0
2017-06-01,123.0
2017-06-02,125.0
2017-06-03,118.0
2017-06-04,81.0
2017-06-05,111.0
2017-06-06,162.0
2017-06-07,137.0
2017-06-08,120.0
2017-06-09,125.0
2017-06-10,91.0
2017-06-11,94.0
2017-06-12,96.0
2017-06-13,159.0
2017-06-14,124.0
2017-06-15,117.0
2017-06-16,83.0
2017-06-17,102.0
2017-06-18,81.0
2017-06-19,107.0
2017-06-20,133.0
2017-06-21,67.0
2017-06-22,82.0
2017-06-23,91.0
2017-06-24,76.0
2017-06-25,80.0
2017-06-26,66.0
2017-06-27,161.0
2017-06-28,121.0
2017-06-29,126.0
2017-06-30,93.0
2017-07-01,94.0
2017-07-02,84.0
2017-07-03,94.0
2017-07-04,109.0
2017-07-05,161.0
2017-07-06,159.0
2017-07-07,136.0
2017-07-08,106.0
2017-07-09,78.0
2017-07-10,109.0
2017-07-11,169.0
2017-07-12,157.0
2017-07-13,137.0
2017-07-14,161.0
2017-07-15,117.0
2017-07-16,93.0
2017-07-17,132.0
2017-07-18,213.0
2017-07-19,156.0
2017-07-20,158.0
2017-07-21,121.0
2017-07-22,104.0
2017-07-23,77.0
2017-07-24,125.0
2017-07-25,185.0
2017-07-26,137.0
2017-07-27,133.0
2017-07-28,130.0
2017-07-29,127.0
2017-07-30,96.0
2017-07-31,116.0
2017-08-01,128.0
2017-08-02,221.0
2017-08-03,153.0
2017-08-04,139.0
2017-08-05,139.0
2017-08-06,86.0
2017-08-07,109.0
2017-08-08,186.0
2017-08-09,137.0
2017-08-10,157.0
2017-08-11,149.0
2017-08-12,125.0
2017-08-13,80.0
2017-08-14,121.0
2017-08-15,188.0
2017-08-16,184.0
2017-08-17,171.0
2017-08-18,158.0
2017-08-19,126.0
2017-08-20,84.0
2017-08-21,136.0
2017-08-22,168.0
2017-08-23,128.0
2017-08-24,122.0
2017-08-25,133.0
2017-08-26,106.0
2017-08-27,86.0
2017-08-28,133.0
2017-08-29,170.0
2017-08-30,164.0
2017-08-31,161.0
2017-09-01,146.0
2017-09-02,117.0
2017-09-03,95.0
2017-09-04,126.0
2017-09-05,182.0
2017-09-06,149.0
2017-09-07,124.0
2017-09-08,98.0
2017-09-09,127.0
2017-09-10,106.0
2017-09-11,155.0
2017-09-12,222.0
2017-09-13,213.0
2017-09-14,190.0
2017-09-15,157.0
2017-09-16,125.0
2017-09-17,111.0
2017-09-18,129.0
2017-09-19,219.0
2017-09-20,153.0
2017-09-21,165.0
2017-09-22,136.0
2017-09-23,107.0
2017-09-24,92.0
2017-09-25,105.0
2017-09-26,216.0
2017-09-27,155.0
2017-09-28,136.0
2017-09-29,123.0
2017-09-30,122.0
2017-10-01,94.0
2017-10-02,116.0
2017-10-03,216.0
2017-10-04,177.0
2017-10-05,145.0
2017-10-06,139.0
2017-10-07,120.0
2017-10-08,101.0
2017-10-09,140.0
2017-10-10,221.0
2017-10-11,175.0
2017-10-12,145.0
2017-10-13,132.0
2017-10-14,157.0
2017-10-15,95.0
2017-10-16,153.0
2017-10-17,218.0
2017-10-18,193.0
2017-10-19,173.0
2017-10-20,142.0
2017-10-21,137.0
2017-10-22,133.0
2017-10-23,129.0
2017-10-24,173.0
2017-10-25,165.0
2017-10-26,165.0
2017-10-27,139.0
2017-10-28,100.0
2017-10-29,101.0
2017-10-30,120.0
2017-10-31,176.0
2017-11-01,152.0
2017-11-02,125.0
2017-11-03,111.0
2017-11-04,135.0
2017-11-05,111.0
2017-11-06,75.0
2017-11-07,277.0
2017-11-08,171.0
2017-11-09,196.0
2017-11-10,165.0
2017-11-11,175.0
2017-11-12,138.0
2017-11-13,152.0
2017-11-14,251.0
2017-11-15,191.0
2017-11-16,168.0
2017-11-17,241.0
2017-11-18,194.0
2017-11-19,128.0
2017-11-20,181.0
2017-11-21,233.0
2017-11-22,252.0
2017-11-23,244.0
2017-11-24,799.0
2017-11-25,754.0
2017-11-26,340.0
2017-11-27,349.0
2017-11-28,506.0
2017-11-29,347.0
2017-11-30,234.0
2017-12-01,363.0
2017-12-02,251.0
2017-12-03,188.0
2017-12-04,186.0
2017-12-05,426.0
2017-12-06,301.0
2017-12-07,244.0
2017-12-08,228.0
2017-12-09,174.0
2017-12-10,155.0
2017-12-11,186.0
2017-12-12,351.0
2017-12-13,235.0
2017-12-14,196.0
2017-12-15,197.0
2017-12-16,156.0
2017-12-17,106.0
2017-12-18,160.0
2017-12-19,221.0
2017-12-20,189.0
2017-12-21,148.0
2017-12-22,139.0
2017-12-23,114.0
2017-12-24,52.0
2017-12-25,68.0
2017-12-26,127.0
2017-12-27,218.0
2017-12-28,155.0
2017-12-29,155.0
2017-12-30,79.0
2017-12-31,64.0
2018-01-01,56.0
2018-01-02,162.0
2018-01-03,237.0
2018-01-04,254.0
2018-01-05,216.0
2018-01-06,229.0
2018-01-07,162.0
2018-01-08,233.0
2018-01-09,242.0
2018-01-10,345.0
2018-01-11,254.0
2018-01-12,261.0
2018-01-13,248.0
2018-01-14,181.0
2018-01-15,256.0
2018-01-16,379.0
2018-01-17,300.0
2018-01-18,243.0
2018-01-19,217.0
2018-01-20,217.0
2018-01-21,5.0
2018-01-22,408.0
2018-01-23,327.0
2018-01-24,267.0
2018-01-25,229.0
2018-01-26,249.0
2018-01-27,183.0
2018-01-28,123.0
2018-01-29,205.0
2018-01-30,274.0
2018-01-31,225.0
2018-02-01,245.0
2018-02-02,219.0
2018-02-03,212.0
2018-02-04,199.0
2018-02-05,215.0
2018-02-06,318.0
2018-02-07,253.0
2018-02-08,252.0
2018-02-09,198.0
2018-02-10,215.0
2018-02-11,151.0
2018-02-12,179.0
2018-02-13,187.0
2018-02-14,221.0
2018-02-15,343.0
2018-02-16,288.0
2018-02-17,228.0
2018-02-18,180.0
2018-02-19,197.0
2018-02-20,321.0
2018-02-21,271.0
2018-02-22,283.0
2018-02-23,258.0
2018-02-24,214.0
2018-02-25,175.0
2018-02-26,234.0
2018-02-27,360.0
2018-02-28,290.0
2018-03-01,306.0
2018-03-02,278.0
2018-03-03,251.0
2018-03-04,201.0
2018-03-05,211.0
2018-03-06,329.0
2018-03-07,263.0
2018-03-08,215.0
2018-03-09,248.0
2018-03-10,207.0
2018-03-11,188.0
2018-03-12,192.0
2018-03-13,257.0
2018-03-14,200.0
2018-03-15,282.0
2018-03-16,262.0
2018-03-17,221.0
2018-03-18,178.0
2018-03-19,239.0
2018-03-20,323.0
2018-03-21,315.0
2018-03-22,266.0
2018-03-23,243.0
2018-03-24,176.0
2018-03-25,152.0
2018-03-26,224.0
2018-03-27,286.0
2018-03-28,228.0
2018-03-29,224.0
2018-03-30,177.0
2018-03-31,146.0
2018-04-01,161.0
2018-04-02,233.0
2018-04-03,304.0
2018-04-04,265.0
2018-04-05,268.0
2018-04-06,213.0
2018-04-07,175.0
2018-04-08,149.0
2018-04-09,182.0
2018-04-10,308.0
2018-04-11,229.0
2018-04-12,152.0
2018-04-13,337.0
2018-04-14,173.0
2018-04-15,180.0
2018-04-16,224.0
2018-04-17,319.0
2018-04-18,275.0
2018-04-19,298.0
2018-04-20,114.0
2018-04-21,333.0
2018-04-22,552.0
2018-04-23,771.0
2018-04-24,990.0
2018-04-25,306.0
2018-04-26,241.0
2018-04-27,265.0
2018-04-28,185.0
2018-04-29,135.0
2018-04-30,97.0
2018-05-01,406.0
2018-05-02,225.0
2018-05-03,334.0
2018-05-04,278.0
2018-05-05,231.0
2018-05-06,85.0
2018-05-07,354.0
2018-05-08,426.0
2018-05-09,339.0
2018-05-10,306.0
2018-05-11,279.0
2018-05-12,218.0
2018-05-13,176.0
2018-05-14,291.0
2018-05-15,387.0
2018-05-16,368.0
2018-05-17,127.0
2018-05-18,379.0
2018-05-19,145.0
2018-05-20,161.0
2018-05-21,132.0
2018-05-22,259.0
2018-05-23,166.0
2018-05-24,119.0
2018-05-25,102.0
2018-05-26,122.0
2018-05-27,83.0
2018-05-28,118.0
2018-05-29,160.0
2018-05-30,148.0
2018-05-31,142.0
2018-06-01,147.0
2018-06-02,164.0
2018-06-03,156.0
2018-06-04,178.0
2018-06-05,270.0
2018-06-06,218.0
2018-06-07,232.0
2018-06-08,198.0
2018-06-09,197.0
2018-06-10,142.0
2018-06-11,256.0
2018-06-12,292.0
2018-06-13,260.0
2018-06-14,241.0
2018-06-15,188.0
2018-06-16,141.0
2018-06-17,135.0
2018-06-18,213.0
2018-06-19,288.0
2018-06-20,213.0
2018-06-21,213.0
2018-06-22,170.0
2018-06-23,195.0
2018-06-24,168.0
2018-06-25,190.0
2018-06-26,287.0
2018-06-27,217.0
2018-06-28,254.0
2018-06-29,196.0
2018-06-30,145.0
2018-07-01,129.0
2018-07-02,162.0
2018-07-03,5.0
2018-07-04,351.0
2018-07-05,697.0
2018-07-06,149.0
2018-07-07,101.0
2018-07-08,104.0
2018-07-09,119.0
2018-07-10,149.0
2018-07-11,144.0
2018-07-12,129.0
2018-07-13,160.0
2018-07-14,150.0
2018-07-15,110.0
2018-07-16,198.0
2018-07-17,273.0
2018-07-18,300.0
2018-07-19,246.0
2018-07-20,264.0
2018-07-21,215.0
2018-07-22,4.0
2018-07-23,315.0
2018-07-24,368.0
2018-07-25,282.0
2018-07-26,270.0
2018-07-27,234.0
2018-07-28,165.0
2018-07-29,112.0
2018-07-30,285.0
2018-07-31,337.0
2018-08-01,331.0
2018-08-02,334.0
2018-08-03,292.0
2018-08-04,272.0
2018-08-05,237.0
2018-08-06,306.0
2018-08-07,444.0
2018-08-08,338.0
2018-08-09,298.0
2018-08-10,252.0
2018-08-11,208.0
2018-08-12,160.0
2018-08-13,259.0
2018-08-14,339.0
2018-08-15,289.0
2018-08-16,291.0
2018-08-17,292.0
2018-08-18,207.0
2018-08-19,316.5
2018-08-20,426.0
2018-08-21,292.0
2018-08-22,183.0
2018-08-23,146.0
2018-08-24,138.0
2018-08-25,81.0
2018-08-26,70.0
2018-08-27,64.0
2018-08-28,56.0
2018-08-29,15.0
2018-08-30,12.2
2018-08-31,9.4
2018-09-01,6.600000000000001
2018-09-02,3.8000000000000007
2018-09-03,1.0
